variety,description
Bordeaux-style Red Blend,"Ripe fruit, new wood flavors and a rounded character give this structured and textured wine a fine sense of shape. It has weight, richness and a well balanced texture. Age it for four years."
Bordeaux-style Red Blend,"Strongly perfumed with new wood, this polished wine is rich, structured and packed with fruit. It has a fine, tannic character balanced by red berry fruit and fine acidity. Drink from 2020."
Bordeaux-style Red Blend,"Yes, that is the correct spelling, as shown on the wine's label. A blend of 10% Merlot, 56% Syrah, and 34% Cabernet Sauvignon, this is dark, plum-colored and dusty with scents of plum and prune. Soft and moving quickly into midlife, it drinks like an older wine, with soft tannins and a hint of supple leather."
Bordeaux-style Red Blend,"Big wood, big fruit—there are no half measures here. The wine is spicy from the tannins and wood, the fruit is densely black with red berry tinges, and the power is evident throughout. This wine has weight."
Bordeaux-style Red Blend,"This wine's fruitiness comes from stalky black currant flavors that have a green edge. It shows tannins, bitter chocolate and considerable acidity."
Bordeaux-style Red Blend,"This is a true Claret, in that the blend includes 41% Merlot, 36% Cabernet Franc, 14% Cabernet Sauvignon, and 9% Malbec. It is lushly scented with licorice, tobacco, clove, some plastic and dark fruits, especially black cherry. The fruit and indeed the wine itself has been softened to the point of losing its focus; perhaps an effort to subdue the vineyard's notorious tannins. This is forward and pleasant but a bit diffuse."
Bordeaux-style Red Blend,"Everything is here in this great wine. The solid fruit flavors are of black berries and dried raisins, and there is a rich, powerful structure. Above all, it is finely balanced. It shows that a wine can be powerful without being high alcohol."
Bordeaux-style Red Blend,"91–93. Barrel sample. Rich blackberry fruits are surrounded by a dense structure on this wine. The palate is ripe, but balanced with acidity, juiciness and a solid concentrated character."
Bordeaux-style Red Blend,"Though this is pure Cabernet from an excellent Walla Walla vineyard, the flavors seem rather harsh and quite astringent. The dark fruit is cloaked in bitter, chalky tannins that require some rich food to cut through."
Bordeaux-style Red Blend,"A structured, Cabernet Sauvignon-dominated wine that is already showing its ripe juicy side. It is already impressive, with its layers of butts as well as acidity. The black-currant fruitiness of the vintage is shining through. Currently performing well, this property is at the southern end of the Haut-Médoc region. Drink the wine from 2019."
Bordeaux-style Red Blend,"This perfumed wine, with a dry tannic core, is just beginning to soften. The potential for the black fruits is already there. Drink this solid wine from early 2018."
Bordeaux-style Red Blend,"Produced by consultant Pascal Chatonnet, this is basic Saint-Emilion with attitude. Spicy new wood, rich, bitter chocolate flavors and superripe berry fruits are kept in order by the acidity and the dense core of dry tannins."
Bordeaux-style Red Blend,"Impenetrable ruby in hue, this heavy-hitting blend of 51% Petit Verdot, 20% Merlot, 15% Cabernet Franc and 13% Cabernet Sauvignon offers tight aromas of cassis, char and espresso, with hints of blackberry and tobacco. The palate demonstrates impressive balance between its flesh, acids and tannins, while boasting notable concentration. A note of black raspberry extends onto the finish."
Bordeaux-style Red Blend,"This is the second wine of Château Labégorce. It has much of the elegance of the top wine with firm tannins and generous fruits kept in stylish proportion. Black currant and berry fruits lie under the dark, dry exterior. The wine is dense, needing several years' aging. Drink from 2018."
Bordeaux-style Red Blend,"Always a bit herbaceous, this year the underlying leanness shows in rather green fruit, veering into bell pepper, dill, mint and oregano. All the oak in France and America can't really make the fruit any riper. But the oak does add smoky, creamy, vanilla notes and sweetness, too. There is some pretty fruit—notably blackberry—in the finish, but still, this is a wine of structure. It's fantastically well made, a classy quaff, and it will pair well with rich red meats, especially beef."
Bordeaux-style Red Blend,"The very tannic '05 reserve is a blend of Petit Verdot, Cab Sauvignon, Merlot and Cab Franc. It's fleshy and rich in blackberry, cassis and tobacco flavors, with lots of new toasty oak, and there's something meaty, like ground hamburger with a splash of tamari. Utterly delicious and very fine, this low-production bottling should evolve over many years."
Bordeaux-style Red Blend,"A concentrated wine, it's packed with both dark fruits and tannins. A dense structure contrasts with the fresher black currant fruitiness. Ripe and full-bodied, the wine needs to age. Drink from 2016."
Bordeaux-style Red Blend,"This is a Merlot-based blend, tightly wound, with tart berry fruit flavors. It gathers and concentrates into a dense, fruit-laden finish, streaked with espresso and dark chocolate. Though labeled simply Yakima Valley, it's all Red Mountain fruit, mostly from Klipsun."
Bordeaux-style Red Blend,"Consultant Stéphane Derenoncourt has helped this light wine to have a good balance and soft, generous fruitiness. The tannins are kind, rounded and already well integrated with the fruit. Drink from 2017."
Bordeaux-style Red Blend,"Earthy, smoky berry and cherry aromas are distinctly leathery and lightly herbal. This feels tight and bold, with cutting acidity. Flavors of toasty oak, herbal plum and black peppercorn finish long, due to blazing residual acidity. In fact, this is a sharp rendition of Erasmo that's not likely to get any more friendly than it currently is. Drink through 2025."
Bordeaux-style Red Blend,"Elegant as well as rich, this is a beautiful wine. It has great depth of flavor, the sweetest fruit, deliciously ripe. At the same time, the tannins are an underlying sustenance to the impressive ageworthiness."
Bordeaux-style Red Blend,"Winemaker: Frans Smit. This Bordeaux-style blend, made from 52% Cabernet Sauvignon, 40% Merlot and 7% Cabernet Franc, is warm yet bright, with high notes of red cherry, currant, rhubarb cake and vanilla bean. Aged for 24 months in French oak, it's plush and velvety in structure, with loads of sweet spice and baked cherry on the palate. An enduring cedar note graces the close. Drink now–2021."
Bordeaux-style Red Blend,"Ripe, rich and generous, this has tannins that show the basic structure of the wine, with chocolate and licorice flavors highlighting the wood infuence. At the same time, it has a delicious fruitiness."
Bordeaux-style Red Blend,"Delicate and elegant wine, with smoky fruit, ripe but freshened with a tight layer of acidity. It has delicious black currant juice flavors, but the texture remains light and the tannins soft."
Bordeaux-style Red Blend,"This is a lively, fruity wine that is ready to drink now. It has juicy fruitiness from black currant and strawberry notes, along with soft tannins."
Bordeaux-style Red Blend,"From a Merlot-dominated, 24-acre vineyard this is a strongly mineral wine, with young, dark tannins and a powerful structure. A more juicy, fruity side brings out black currants and berries. Together the structure and the fruit promise good aging. Drink from 2017."
Bordeaux-style Red Blend,"This lean wine, all acidity and tannins, has a severe character that is not likely to go away. The estate has been handed down from mother to daughter for seven generations and now owned by enologist Marie Laure Latorre. It was named for the Merlot plot planted on 08/11/99, the date of the last total solar eclipse seen in France."
Bordeaux-style Red Blend,"A great mix of solid tannins and juicy fruit, this is a rich and structured wine, with the firm character of the year and deep blackberry flavor. It has weight and an edge of spice, finishing with acidity."
Bordeaux-style Red Blend,"Cabernet Sauvignon and Cabernet Franc each make up 50% of this blend. The aromas are forward, with notes of matchstick, smoke, herb, char and game. The flavors are lighter in style, with game and herb influences throughout that distract."
Bordeaux-style Red Blend,"90-92. Barrel sample. Rich and ripe, the wine has delicious Cabernet flavors. It offers ripe and rounded fruits with juiciness rather than great density."
Bordeaux-style Red Blend,"Tannins and acidity hint to fine aging potential for this well-made, balanced wine. Acidity and freshness are dominant. Give this wine till 2016 to develop."
Bordeaux-style Red Blend,Layers of black fruits and tight tannins set this wine on a serious road. It has the freshness of the vintage as well as the bright acidity. At the same time it is structured and dense. This second wine of Château Margaux is ripe and ethereal in its lift. Drink from 2024.
Bordeaux-style Red Blend,"91-93 Rich, the structure all a part of the ripe blackberry fruits, very dark in style. The wine is very ripe, still retaining elegance"
Bordeaux-style Red Blend,"There's good density here. This wine shows plenty of ripe Merlot fruit flavors, jammy, lifted with dried fruits and blackberries. It's a rounded, ripe wine, but shot through with a curious, unbalanced, very dry wood element."
Bordeaux-style Red Blend,"This ripe, smoky wine is structured, full of new oak flavors and dense with both fruit and tannins. Its concentrated, bold blackberry flavors and firm tannins mix with smoky wood notes and acidity. Drink from 2020."
Bordeaux-style Red Blend,It's the smoky flavors and acidity that dominate this fresh wine. It has hints of black-currant flavors that may develop although the wine is light and shows more dry tannins than fruit at this stage. Think about waiting until 2018.
Bordeaux-style Red Blend,"Fermented in large barrels to preserve the fruit, this is a dense wine, full of the ripe red-berry and black-plum flavor that's layered with mint and new wood notes. Juicy, rich and concentrated, this is worth aging for at least five years."
Bordeaux-style Red Blend,"A blend of 28% Cabernet Franc, 23% Cabernet Sauvignon, 21% Malbec, 18% Petit Verdot and 10% Merlot, this is a big, bold and powerful wine, with superb balance and a firm, concentrated structure that promises great long-term aging. Dense aromas and flavors of blackberry, boysenberry, cherry and fig are layered with notes of cocoa powder, roasted espresso bean and cigar tobacco. Ripe, rich and lush, but not overdone, hints of charred oak and black pepper linger on the finish. Drink 2018–2025."
Bordeaux-style Red Blend,"Unusual, high-toned aromas of green herbs, fresh flowers and pomegranate lead to smooth cherry and orange-peel flavors with abundant floral notes throughout. It provides lots of easy-drinking pleasure, though the floral notes at times seem overpowering."
Bordeaux-style Red Blend,"This blend offers beguiling, complex aromas of violets, scorched earth, cassis, black licorice and graphite. The flavors are tightly wound, showing poise and presence. It drinks well out of the gate but cellaring will be particularly rewarded. Best from 2022 through 2030."
Bordeaux-style Red Blend,"Forward red fruits give a good beginning to this light and fruity blend of Merlot, Cabernet Franc and Cabernet Sauvignon. It is crisp with red currant flavors and layers of acidity. Drink now."
Bordeaux-style Red Blend,"It's the Carmenère (14%) that pops first on this Cabernet Sauvignon and Cabernet Franc-dominant blend. Aromas of braised jalapeno pepper are followed by coffee, vanilla and dark fruit. The coffee and cherry flavors are light, with some grit to the tannins and a warm finish."
Bordeaux-style Red Blend,"This is a full, ripe wine. It has red fruits, black currants and a rich seam of tannins. There is also a smoky character that adds attraction. With a ripe aftertaste, the wine is developing well and should be ready from 2018."
Bordeaux-style Red Blend,"In the village of Soussans, and in the north of the Margaux appellation, this estate has a fine reputation for its wines. This vintage, with its great balance between fruit and tannins, shows why. It is a ripe wine full of black fruit and with the bright acidity of the vintage. Drink the wine from 2021."
Bordeaux-style Red Blend,"The blend is 50% Merlot, 33% Cabernet Sauvignon and 17% Cabernet Franc, aged in 100% new French oak. The only wine from this producer that is a blend, it currently shows an abundance of barrel flavors. The baking spices overpower some of the signature elements that this distinguished vineyard imparts—the mineral, saline, iron and steel notes often found in Ciel's red wines. The fruit remains gorgeously ripe, and with a bit more bottle age those subtle flavors may reappear."
Bordeaux-style Red Blend,"This is a field blend of 70% Cabernet Sauvignon, 14% Merlot, 10% Cabernet Franc, and 6% Malbec, all co-fermented and estate-grown. It's nicely evolved, ripe and fruity—a flavor cavalcade of pastry fruits and spices, fig, twig, cacao and coffee. Yes you may cellar this wine, but why wait? It's drinking beautifully."
Bordeaux-style Red Blend,"This is a chateau that is getting better and better. This 2009 is packed with sweet fruit, impressive tannins and a complex dark structure. It is fruity, yet powerful, for good aging."
Bordeaux-style Red Blend,"The wine is developing quickly. It has all the elements, with ripe cherry flavors and acidity along some firm tannins. They are all coming together easily and generously. The attractive, ripe wine will be ready to drink from 2022."
Bordeaux-style Red Blend,"Powerful, ripe fruit, now beginning to open up, is the dominant character of this wine. It's full in the mouth, packed with black plums and ripe damsons and finished with soft tannins and a slight warmth."
Bordeaux-style Red Blend,"A structured, firm wine showing a great balance of red fruits, dry Bordeaux-style tannins and a freshly jammy texture. For a branded Bordeaux, it has both quality and elegance."
Bordeaux-style Red Blend,"From one of the properties owned by Bernard Magrez, this wine exhibits the opulent character he seems to like. Rich and full of black-plum flavors, it offers all the fruit of the vintage with the right amount of tannins to support it. Drink from 2018."
Bordeaux-style Red Blend,"Lean, soft and soapy in character, this has a dry core and soft tannins, with a lightweight red-berry note. Not for aging."
Bordeaux-style Red Blend,"This structured, concentrated wine is from an estate in the north of Saint-Estèphe. A dominance of Cabernet Sauvignon in the blend lends it firm, solid tannins as well as a juicy black-currant note. It's a wine for long-term aging; don't drink before 7–8 years."
Bordeaux-style Red Blend,"92-94. Barrel sample. This wine is powered with acidity, dark tannins and smoky wood. Concentrated and dense, it has weight along with the delicious, juicy fruits."
Bordeaux-style Red Blend,"A noble tribute to his Bordeaux training, winemaker Jean Michel Morel's namesake blend is beautifully concentrated with rich, sweet black fruit, with hints of violet, savory mushroom, cured meat and clay. A textured and powerful wine with vibrant acidity, it finishes long, with a swathe of velvety tannins."
Bordeaux-style Red Blend,"Made in the modern style, with lots of upfront, jammy flavors of blackberries, cherries and raspberries. It's a drily tannic wine, with good acidity. Fully drinkable now after a brief decant."
Bordeaux-style Red Blend,"The hot, overweight 2003 vintage has not been kind to this licorice- and dark chocolate-flavored wine. It is dry, firm, while still garishly rich. If you have it, drink it now."
Bordeaux-style Red Blend,"A spectacular wine that defines the upper limit of California Bordeaux-style blends. Based on Cabernet Franc and Merlot, with splashes of Cabernet Sauvignon and Malbec, this is delicious and complex, offering a blast of blackberry, blueberry-concentrate and mineral flavors. Comprised of fruit grown throughout Sonoma County, this is a masterpiece of the art of blending. Absolutely dry and very hard in tannins, drink this from 2013–2022."
Bordeaux-style Red Blend,". Recent vintages have left Bordeaux with an alcohol problem, as seen in this wine. The saving grace is the essential Cabernet Sauvignon structure and acidity that keeps the ripe Merlot in balance."
Bordeaux-style Red Blend,"Big, ripe, fruity wine, very pure and fresh. The black currant fruits give richness, following through with some black chocolate flavors and dry tannins. It will develop quickly, and the fruit is already delicious."
Bordeaux-style Red Blend,"93-95. Barrel sample. Dense and ripe, this wine boasts sweet tannins and flavors of ripe plums. With the vintage's tight, taut acidity, the aging potential is there."
Bordeaux-style Red Blend,"87-89 Barrel sample. Minty aromas give lifted smooth fruit, with an edge of caramel toast. That sweetness seems to cut through the fruit, leaving the fresh acidity behind."
Bordeaux-style Red Blend,"While it is structured and solid, the wine also has rich black fruits that are surrounded by the firm, dry tannins. There is a base of dark chocolate, wood spice and a brooding final quality to the weighty finish."
Bordeaux-style Red Blend,"On the lean side, this is a tannic and structured wine. The fruit is stalky, with a black currant note and tight acidity, creating a wine that needs 1–2 years to really soften."
Bordeaux-style Red Blend,"Very dry and tannic now, although soft, with ripe flavors of blackberries and black currants that verge on overripe ones of prunes and raisins. This blend of Merlot, Malbec and Cabernet Sauvignon does not seem likely to improve."
Bordeaux-style Red Blend,"This has a curious caramel aroma from the wood aging. It's tough and extracted, a powerhouse of hard tannins without enough fruit."
Bordeaux-style Red Blend,"90-92 Barrel sample. The ripest fruit, with plenty of sweet flavors, packed with spice, the ripe wood giving structure."
Bordeaux-style Red Blend,"A Bordeaux-style blend from the iconic Red Mountain site, this is precisely structured with black fruits, zippy acidity and a tight focus. The pinpoint construction suggests that this is cellarable until 2024 at least, and will continue to improve for years before settling into maturity."
Bordeaux-style Red Blend,"This wine is a bit rugged in texture, with firm tannins, but flavorful with ample blackberries, currants and spices. The blend is based on Cabernet Sauvignon."
Bordeaux-style Red Blend,"This is a Bordeaux blend, and while it's a simple wine, the price isn't bad. It shows plenty of ripe raspberry and cherry fruit, and finishes on the sweet side."
Bordeaux-style Red Blend,"Impressively ripe fruit, with smoky flavors from wood, the texture sweet and fleshy. The wine has juicy berry flavors, with the freshest acidity, livened with spice from the fruit and the oak aging. Worth aging for 5–10 years."
Bordeaux-style Red Blend,"90-92 Barrel sample. There is attractive spicy wood here, piled with acidity, great blackcurrant characters. The wine is balanced, fresh and fruity."
Bordeaux-style Red Blend,"This blend of 44% Merlot, 36% Cabernet Sauvignon and 20% Cabernet Franc makes a strong case for growing Bordeaux varieties in Malibu. Deep and round black currant, Concord grape and wisteria aromas lead into a palate of similar flavors laced with chalky tannins and a buoyant acidity."
Bordeaux-style Red Blend,"88-90 Barrel sample. This is rich, with sweet fruits and delicious sweet plum flavors, good tannins, a lovely juicy character."
Bordeaux-style Red Blend,"Produced from 40-year-old vines on a 15-acre vineyard, the wine is almost entirely Merlot. It has dense, dark tannins and signs of wood aging that will integrate with time. It is a very fine, rich wine with black-plum fruit flavors. The aftertaste brings out the acidity and black currant fruits."
Bordeaux-style Red Blend,"This estate-driven wine combines 84% Cabernet Sauvignon, 10% Cabernet Franc and 6% Merlot. Made in a classical Old-World style, it offers chalky tannin around composted earth, blackberry and cassis. The texture is firm and grippy, with supportive acidity at its core."
Bordeaux-style Red Blend,"Fresh and bright, the nose of this wine is filled with bramble fruit, lavender and violet candy. The palate is racy, with red cherry, pomegranate, lavender and violet. Smooth tannins lead to a silky finish."
Bordeaux-style Red Blend,"With stalky fruit and black currant acidity, the wine starts out lean. Then a richer, smoky wood character gives weight and sweeter flavors. Give the wine a year."
Bordeaux-style Red Blend,"Always one of the top performers in Margaux, this dense and concentrated wine has a bold, ripe character from the plum and berry fruits. It has the weight to develop. Drink from 2020."
Bordeaux-style Red Blend,"There is a strong layer of new wood here, serving to give structure to the rich berry fruits. Plum juice and black coffee round out the dryness, but the texture is still young, needing four years aging."
Bordeaux-style Red Blend,This Merlot/Cabernet Franc blend is a tight closed wine showing tannins rather than fruit. It will remain this way.
Bordeaux-style Red Blend,"This wine is finely structured with the red berry and black plum fruit flavors leading to a central core of tannins. There is good juiciness as well, the whole ensemble promising good medium-term aging. The second wine of Château du Glana."
Bordeaux-style Red Blend,"This is a ripe soft wine full of warm fruits and gentle tannins. The second wine of the always-impressive Château Smith Haut Lafitte, it is a rich wine its own right. With black currant and dark plum flavors, it has some solid tannins from 60% Cabernet Sauvignon in the blend. Drink from 2018."
Bordeaux-style Red Blend,"A firm and tannic wine that will become fine, structured and rich. Blackberry fruits come from the 70% Merlot in the blend, which is perfumed with Cabernet Franc. It is a ripe wine, juicy with acidity and finishing with a solid, concentrated aftertaste. Drink from 2019."
Bordeaux-style Red Blend,"92-94. Barrel sample. While the wine does have firm tannins, these are layered with open, ripe fruits. There are blackberry flavors, and the wine shows good acidity and a firm finish."
Bordeaux-style Red Blend,"In recent years The Maiden has been getting nearly as good as Harlan Estate, so that at less than one-third the price, it's a comparative bargain. The '06 Maiden is very ripe and rich, displaying New World, cult-style flamboyance. Softly tannic and bone dry, the flavors are of blackberries, black currants and spicy cedar wood. Drink this intense, dramatic wine now and through 2015."
Bordeaux-style Red Blend,"This wine has good potential. While for now, it is dry and cut with tannins, the fruit and rich blackberry flavors are promising a rounded, full future. Wood aging has smoothed the wine and added a touch of toast to the black currant fruits. Drink from 2018."
Bordeaux-style Red Blend,Philippe and Gilles Reich have produced this rich while structured wine from their family vineyard. It has generous black fruits that are supported by wood-aging flavors and finely balanced tannins. The majority Cabernet Sauvignon blend gives juicy black-currant fruit. Drink this wine from 2018.
Bordeaux-style Red Blend,"Very structured and packed with tannins, this has the weight to balance those qualities, promising layers of black fruits as it develops. There's a mineral character here, the tannins in suspension. The aftertaste brings out delicious, lightly salty acidity. Drink from 2018."
Bordeaux-style Red Blend,"92-94 There is power and richness here, the wine has weight, delicious ripe fruits and a smooth texture. Under that surface is the powerful, dense texture."
Bordeaux-style Red Blend,"A wonderfully refined wine, with firm, ripe tannins that fream an elegant blend of rich plum, balckberry, coffee, chocolate, cassis, black cherry, cedar and spice flavors. The finish is long and smooth, with a bright cherry boost at the end. Francis Coppola's benchmark wine."
Bordeaux-style Red Blend,"Produced from organically grown grapes, the wine is fruity, lightly structured and developing quickly. It has generous black currants and black plums that are already attractive and crisp. There is a firm back drop of tannins. Drink from 2019."
Bordeaux-style Red Blend,"Here's a basic red wine, full-bodied and dry, with ripe blackberry, cherry, currant and oak flavors. The blend is Merlot-dominated, with Cabernet Sauvignon and Petit Verdot."
Bordeaux-style Red Blend,"A blend of 54% Malbec and 46% Petit Verdot, this lithe, medium-bodied wine makes an interesting contrast to Cullen's Mangan Vineyard Merlot-Malbec-Petit Verdot. It's a leaner wine, with modest cherry-berry fruit and ample accents of cinnamon, cedar and vanilla."
Bordeaux-style Red Blend,"89-91 Barrel sample. Considerable freshness here, a wine that has ripe blackcurrant fruit, but very soft tannins."
Bordeaux-style Red Blend,"Though not labeled as such, this could be a varietal Cabernet Franc (80%). Dried herb, tobacco and wood spice aromas lead to well balanced, expressive dried black cherry flavors that stretch out on the finish. The aromas and flavors don't quite sync up but it still brings a lot of appeal."
Bordeaux-style Red Blend,"Fresh and fruity, this is a bright wine, full of almost shocking acidity and red-currant fruits. Its tannins are there, although more of an afterthought to the fruit. Drink this light fresh wine from 2017."
Bordeaux-style Red Blend,"Closed-up at present, this aromatic brooder has notes of red and black fruit, scorched earth and herbs, along with a floral top note. It has a mountain-fruit profile of firm, chewy tannins, tart acids and dense flavors. Time in the cellar is required to fully appreciate it. Let it be until at least 2020 but it should have a good 15 years beyond that."
Bordeaux-style Red Blend,"The new French oak (60%) and rich fruit aromas and flavors play perfectly off each other. Notes of dark roasted coffee beans and bittersweet chocolate meld with fresh herbs and dark cherries. It's rich and layered with abundant fruit and barrel flavors capped off by a tart, lingering finish. Best after 2020."
Bordeaux-style Red Blend,"Paloumey is in the southern Médoc, close to Margaux. This brings out a perfumed character that sits well with the fresh black currant fruit and gentle tannins. There is a great juicy quality that develops as the wine opens."
Bordeaux-style Red Blend,"A blend of 60% Cabernet Sauvignon and 30% Merlot with the balance Cabernet Franc and Petit Verdot, this wine offers aromas of coffee, cherry and herbs. It's full bodied with sweet cranberry flavors backed by gritty tannins."
